L	T5	23	T4	17	10	2000	120	2000	A	1	5	0,5,7	0,11,12,19,26,32,42,57,70,71
-	T5	27	T4	20	15	1500	141	2000	A	2	6	0,5,7	0,11,12,19,26,32,42,57,70,71
-	T5	25	T4	18	20	1000	129	2000	L	0	75	0,5,7	0,11,12,19,26,32,42,57,70,71
-	T5	29	T4	21	30	750	150	1800	L	4	187	0,5,7	0,12,19,26,42,57,71
-	T5	35	T4	25	40	500	180	1700	P	5	19	1,4,6	0,12,19,32,42,57,70
-	T4	23	T5	17	10	2000	120	2000	A	6	18	1,4,6	0,19,32,42,57,70
-	T4	27	T5	20	15	1500	141	2000	A	3	26	1,4,6	0,11,19,26,40,42,71,9
-	T4	33	T5	24	20	1000	172	1800	L	2	54	1,4,6	0,11,12,19,26,32,42,57,70,71
-	T4	39	T5	28	30	750	200	1700	L	2	68	2,6,8	0,11,12,19,26,32,42,57,70,71
-	T4	47	T5	34	40	500	240	1500	P	8	89	2,6,8	0,19
-	T5,T4	29	M6,T	21	10	2000	150	2000	P	9	145	2,6,8	0,19
-	T5,T4	34	M6,T	25	15	2000	177	1800	P	3	194	2,6,8	0,11,19,26,40,42,71,9
-	T5,T4	33	M6,T	24	20	1500	172	1700	P	8	154	9,10,11	0,19
-	T5,T4	39	M6,T	28	30	1500	200	1500	P	2	156	9,10,11	0,11,12,19,26,32,42,57,70,71
T	T5,T4	47	M6,T	34	40	1000	240	1700	P	2	170	9,10,11	0,11,12,19,26,32,42,57,70,71
L	M3	35	L3	25	10	2000	180	2000	A	1	5	0,5,7	0,11,12,19,26,32,42,57,70,71
-	M3	41	L3	30	15	1500	212	2000	A	2	6	0,5,7	0,11,12,19,26,32,42,57,70,71
-	M3	42	L3	30	20	1000	215	1800	L	0	75	0,5,7	0,11,12,19,26,32,42,57,70,71
-	M3	49	L3	35	30	750	250	1600	L	4	187	0,5,7	0,12,19,26,42,57,71
-	M3	59	L3	42	40	500	300	1400	P	5	19	1,4,6	0,12,19,32,42,57,70
-	L6	35	M6	25	10	2000	180	2000	A	6	18	1,4,6	0,19,32,42,57,70
-	L6	41	M6	30	15	1500	212	2000	A	3	26	1,4,6	0,11,19,26,40,42,71,9
-	L6	42	M6	30	20	1000	215	1800	L	4	33	1,4,6	0,11,12,19,26,32,42,57,70,71
-	L6	49	M6	35	30	750	250	1600	L	4	40	2,6,8	0,11,12,19,26,32,42,57,70,71
-	L6	59	M6	42	40	500	300	1500	P	8	9	2,6,8	0,19
-	M3,L6	29	L3,M6	21	10	2000	150	2000	A	9	12	2,6,8	0,19
-	M3,L6	34	L3,M6	25	15	2000	177	2000	A	3	11	2,6,8	0,11,19,26,40,42,71,9
-	M3,L6	33	L3,M6	24	20	1500	172	1900	L	8	54	9,10,11	0,19
-	M3,L6	39	L3,M6	28	30	1500	200	1800	L	4	68	9,10,11	0,11,12,19,26,32,42,57,70,71
-	M3,L6	47	L3,M6	34	40	1000	240	1600	P	4	89	9,10,11	0,11,12,19,26,32,42,57,70,71
-	M3,T5	41	L3,T4	29	10	1500	210	2000	P	1	145	2,6,8	0,11,12,19,26,32,42,57,70,71
-	M3,T4	48	L3,T5	35	15	1500	247	1800	P	2	194	2,6,8	0,11,12,19,26,32,42,57,70,71
-	L6,T4	50	M6,T5	36	20	1500	257	1600	P	0	154	9,10,11	0,11,12,19,26,32,42,57,70,71
-	L6,T5	59	M6,T4 	42	30	1500	300	1500	P	4	156	9,10,11	0,12,19,26,42,57,71
T	L6,T5	70	M6,T4	50	40	1500	360	1600	P	5	170	9,10,11	0,12,19,32,42,57,70
L	L3	41	M3	29	10	2000	210	2000	A	6	6	0,5,7	0,19,32,42,57,70
-	L3	48	M3	35	15	1500	247	2000	A	3	75	0,5,7	0,11,19,26,40,42,71,9
-	L3	50	M3	36	20	1000	257	1800	L	2	187	0,5,7	0,11,12,19,26,32,42,57,70,71
-	L3	59	M3	42	30	750	300	1600	L	2	19	0,5,7	0,11,12,19,26,32,42,57,70,71
-	L3	70	M3	50	40	500	360	1400	P	8	18	1,4,6	0,19
