L	10	0	0	5	3000	240	0	-	-	127	74	10	1	40	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	11	0	0	5	2500	252	71	-	-	127	75	11	1	40	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	11	0	0	5	2000	264	68	-	-	127	76	12	1	40	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	12	0	0	6	1500	276	26	-	-	127	77	13	1	40	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	12	0	0	6	1000	288	65	-	-	127	78	14	1	40	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	13	0	0	6	3000	300	65	-	-	127	79	10	1	40	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-
-	13	0	0	6	2500	312	26	-	-	127	80	11	1	40	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-
-	14	0	0	6	2000	324	68	-	-	127	81	12	1	40	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-
-	14	0	0	7	1500	336	71	-	-	127	82	13	1	40	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-
T	15	0	0	7	1000	348	0	-	-	127	83	14	1	40	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-
-	0	13	0	6	3000	300	0	-	-	127	94	20	2	45	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-
-	0	13	0	6	2500	312	71	-	-	127	95	21	2	45	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-
-	0	14	0	6	2000	324	68	-	-	127	96	22	2	45	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-
-	0	14	0	7	1500	336	26	-	-	127	97	23	2	45	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-
-	0	15	0	7	1000	348	65	-	-	127	98	24	2	45	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-
-	0	14	0	7	3000	360	65	-	-	127	99	20	2	45	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	-	-	-
-	0	14	0	7	2500	372	26	-	-	127	100	21	2	45	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	-	-	-
-	0	14	0	8	2000	384	68	-	-	127	101	22	2	45	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	-	-	-
